obs,time,deployment,average_wave_height,date_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,max_wave_height,mean_direction,mean_spectral_period,mean_spread,mean_wave_period,number_zero_crossings,peak_wave_period,port_timestamp,preferred_timestamp,serial_number,significant_period,significant_wave_height,time_string,wave_height_10,wave_height_hmo,wave_period_10,wave_period_tp5,average_wave_height_qc_executed,average_wave_height_qc_results,max_wave_height_qc_executed,max_wave_height_qc_results,significant_wave_height_qc_executed,significant_wave_height_qc_results,significant_period_qc_executed,significant_period_qc_results,wave_height_10_qc_executed,wave_height_10_qc_results,wave_period_10_qc_executed,wave_period_10_qc_results,mean_wave_period_qc_executed,mean_wave_period_qc_results,peak_wave_period_qc_executed,peak_wave_period_qc_results,wave_period_tp5_qc_executed,wave_period_tp5_qc_results,wave_height_hmo_qc_executed,wave_height_hmo_qc_results,mean_direction_qc_executed,mean_direction_qc_results,lat,lon
0,3758032395,8,1.480000019,empty,empty,3758036898,3758036898,3758030318,3.630000114,242.3000031,7.599999905,28.5,7.400000095,139,18.20000076,3758032395,port_timestamp,6311,11.69999981,2.390000105,empty,3.079999924,2.720000029,14.69999981,18,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
1,3758035994,8,1.75999999,empty,empty,3758043198,3758043199,3758033917,4.019999981,245.8999939,8.800000191,27.60000038,8.199999809,122,18.20000076,3758035994,port_timestamp,6311,12.89999962,2.720000029,empty,3.349999905,2.960000038,15.30000019,18.10000038,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
2,3758039594,8,1.610000014,empty,empty,3758043198,3758043199,3758037517,3.970000029,244.1000061,8.300000191,29.39999962,7.599999905,129,16.70000076,3758039594,port_timestamp,6311,12.30000019,2.50999999,empty,2.99000001,2.700000048,15.10000038,17,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
3,3758043194,8,1.49000001,empty,empty,3758051609,3758051609,3758041117,3.470000029,231.5,7.400000095,31.10000038,6.900000095,145,16.70000076,3758043194,port_timestamp,6311,10.5,2.319999933,empty,2.789999962,2.519999981,11.69999981,16.60000038,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
4,3758046793,8,1.559999943,empty,empty,3758051609,3758051609,3758044716,3.75999999,246.3999939,7.800000191,30,7.599999905,138,16.70000076,3758046793,port_timestamp,6311,12,2.589999914,empty,3.309999943,2.779999971,13.5,17.10000038,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
5,3758050412,8,1.340000033,empty,empty,3758057909,3758057909,3758048316,3.910000086,229.8000031,6.599999905,34.70000076,6.699999809,163,16.70000076,3758050412,port_timestamp,6311,9.199999809,2.130000114,empty,2.859999895,2.390000105,10.80000019,16.10000038,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
6,3758053992,8,1.570000052,empty,empty,3758057909,3758057909,3758051916,4.110000134,245.5,7.599999905,28.39999962,7.5,141,16.70000076,3758053992,port_timestamp,6311,11.39999962,2.599999905,empty,3.400000095,2.809999943,12.89999962,16.39999962,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
7,3758057594,8,1.75,empty,empty,3758066323,3758066323,3758055518,4.309999943,246.6000061,8.300000191,28.39999962,7.800000191,130,16.70000076,3758057594,port_timestamp,6311,12,2.710000038,empty,3.410000086,2.869999886,12.89999962,16.20000076,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
8,3758061192,8,1.720000029,empty,empty,3758066323,3758066323,3758059116,4.25,239.8999939,7.800000191,30.79999924,7.5,136,16.70000076,3758061192,port_timestamp,6311,11.19999981,2.619999886,empty,3.190000057,2.890000105,12.60000038,16.79999924,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
9,3758064792,8,1.600000024,empty,empty,3758072629,3758072630,3758062716,4.760000229,239.1000061,7.400000095,29.10000038,7.5,146,15.39999962,3758064792,port_timestamp,6311,10.80000019,2.609999895,empty,3.519999981,2.910000086,14.30000019,15.39999962,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
