obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3755636099.53,8,3.62666988373,empty,empty,3755638592.47,3755638592.6,3755636101.0,3755636099.53,port_timestamp,6.72499990463,10.6091995239,32.5853054044,1024.99923872,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
1,3755636999.53,8,3.62636995316,empty,empty,3755638592.47,3755638592.6,3755637001.0,3755636999.53,port_timestamp,6.41599988937,10.6064996719,32.5848508064,1024.99795417,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
2,3755637899.53,8,3.63225007057,empty,empty,3755647002.35,3755647002.59,3755637901.0,3755637899.53,port_timestamp,7.10400009155,10.6577997208,32.5974532941,1025.00203712,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
3,3755638799.53,8,3.63355994225,empty,empty,3755647002.35,3755647002.59,3755638801.0,3755638799.53,port_timestamp,6.86499977112,10.6687002182,32.6008899446,1025.00175333,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
4,3755639699.53,8,3.63386011124,empty,empty,3755647002.35,3755647002.59,3755639701.0,3755639699.53,port_timestamp,6.51499986649,10.6728000641,32.6003748191,1024.99906457,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
5,3755640599.53,8,3.63399004936,empty,empty,3755647002.35,3755647002.59,3755640601.0,3755640599.53,port_timestamp,7.18499994278,10.6743001938,32.6000452423,1025.00157232,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
6,3755641499.53,8,3.63398003578,empty,empty,3755647002.35,3755647002.59,3755641501.0,3755641499.53,port_timestamp,7.21799993515,10.6754999161,32.5988610252,1025.00059169,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
7,3755642399.53,8,3.63288998604,empty,empty,3755647002.35,3755647002.59,3755642401.0,3755642399.53,port_timestamp,6.89799976349,10.6653003693,32.5972279511,1024.99963723,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
8,3755643299.53,8,3.63129997253,empty,empty,3755647002.35,3755647002.59,3755643301.0,3755643299.53,port_timestamp,7.02199983597,10.6541004181,32.5913084227,1024.99751941,29,29,29,29,29,29,29,29,29,29,46.84905,-124.9775
9,3755644199.53,8,3.62831997871,empty,empty,3755647002.35,3755647002.59,3755644201.0,3755644199.53,port_timestamp,7.01000022888,10.6305999756,32.5825480507,1024.99469327,29,29,29,29,29,29,29,13,29,29,46.84905,-124.9775
10,3755645099.53,8,3.6269800663,empty,empty,3755653305.81,3755653305.81,3755645101.0,3755645099.53,port_timestamp,6.93800020218,10.6204004288,32.5783076334,1024.99282175,29,29,29,29,29,29,29,13,29,29,46.84905,-124.9775
11,3755645999.53,8,3.62575006485,empty,empty,3755653305.81,3755653305.82,3755646001.0,3755645999.53,port_timestamp,7.25500011444,10.6106996536,32.5745454556,1024.99299166,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
12,3755646899.53,8,3.62250995636,empty,empty,3755653305.81,3755653305.82,3755646901.0,3755646899.53,port_timestamp,7.6139998436,10.5832996368,32.5664826141,1024.99304161,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
13,3755647799.53,8,3.61874008179,empty,empty,3755653305.81,3755653305.82,3755647801.0,3755647799.53,port_timestamp,6.88800001144,10.5536003113,32.5556292222,1024.98640437,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
14,3755648699.53,8,3.61846995354,empty,empty,3755653305.81,3755653305.82,3755648701.0,3755648699.53,port_timestamp,6.63199996948,10.5515003204,32.5549137878,1024.98505098,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
15,3755649599.53,8,3.617000103,empty,empty,3755653305.81,3755653305.82,3755649601.0,3755649599.53,port_timestamp,7.09999990463,10.5397996902,32.5504601398,1024.98569905,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
16,3755650499.52,8,3.61620998383,empty,empty,3755653305.81,3755653305.82,3755650501.0,3755650499.52,port_timestamp,7.22599983215,10.5329999924,32.5485751114,1024.98596367,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
17,3755651399.52,8,3.61578011513,empty,empty,3755653305.81,3755653305.82,3755651401.0,3755651399.52,port_timestamp,6.97300004959,10.5291004181,32.5478655132,1024.98493577,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
18,3755652299.52,8,3.61590003967,empty,empty,3755661727.08,3755661731.32,3755652301.0,3755652299.52,port_timestamp,7.16900014877,10.5304002762,32.5478185438,1024.98556182,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
19,3755653199.52,8,3.61611008644,empty,empty,3755661727.08,3755661731.32,3755653201.0,3755653199.52,port_timestamp,7.27299976349,10.5322999954,32.5481800494,1024.98598794,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
20,3755654099.52,8,3.61579990387,empty,empty,3755661727.08,3755661731.32,3755654101.0,3755654099.52,port_timestamp,7.09200000763,10.5290002823,32.5480984214,1024.98567176,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
21,3755654999.52,8,3.61702990532,empty,empty,3755661727.08,3755661731.32,3755655001.0,3755654999.52,port_timestamp,6.82299995422,10.540599823,32.55016237,1024.98407918,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
22,3755655899.52,8,3.61649990082,empty,empty,3755661727.08,3755661731.32,3755655901.0,3755655899.52,port_timestamp,7.08099985123,10.5349998474,32.5497521364,1024.98588354,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
23,3755656799.52,8,3.6165599823,empty,empty,3755661727.08,3755661731.32,3755656801.0,3755656799.52,port_timestamp,6.89799976349,10.5355997086,32.5498943668,1024.98506526,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
24,3755657699.52,8,3.6170399189,empty,empty,3755661727.08,3755661731.32,3755657701.0,3755657699.52,port_timestamp,7.17999982834,10.5391998291,32.5513585346,1024.98686296,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
25,3755658599.52,8,3.61710000038,empty,empty,3755661727.08,3755661731.32,3755658601.0,3755658599.52,port_timestamp,6.99700021744,10.5395002365,32.5517720541,1024.98630732,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
26,3755659499.52,8,3.61644005775,empty,empty,3755668003.24,3755668003.25,3755659501.0,3755659499.52,port_timestamp,7.37900018692,10.5331001282,32.5507216812,1024.98830985,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
27,3755660399.52,8,3.61668992043,empty,empty,3755668003.24,3755668003.25,3755660401.0,3755660399.52,port_timestamp,6.84499979019,10.5355997086,32.5512188881,1024.98585787,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
28,3755661299.52,8,3.61681008339,empty,empty,3755668003.24,3755668003.25,3755661301.0,3755661299.52,port_timestamp,7.05900001526,10.5364999771,32.5515248168,1024.98690844,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
29,3755662199.52,8,3.6164700985,empty,empty,3755668003.24,3755668003.26,3755662201.0,3755662199.52,port_timestamp,6.31799983978,10.5334997177,32.5511194987,1024.98376011,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
30,3755663099.52,8,3.61601996422,empty,empty,3755668003.24,3755668003.26,3755663101.0,3755663099.52,port_timestamp,6.83199977875,10.5306997299,32.5488949385,1024.98482735,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
31,3755663999.51,8,3.61575007439,empty,empty,3755668003.24,3755668003.26,3755664001.0,3755663999.51,port_timestamp,6.8639998436,10.5276002884,32.5489511503,1024.98554609,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
32,3755664899.51,8,3.61572003365,empty,empty,3755668003.24,3755668003.26,3755664901.0,3755664899.51,port_timestamp,6.98299980164,10.527299881,32.5488666672,1024.98606907,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
33,3755665799.51,8,3.61565995216,empty,empty,3755668003.24,3755668003.26,3755665801.0,3755665799.51,port_timestamp,6.59999990463,10.5267000198,32.548968215,1024.98452123,29,13,29,29,29,29,29,13,29,29,46.84905,-124.9775
